file	ploidy	quality_manual	coverage	spikiness	evenness.mean	evenness.med	end	background	reads.per.mb.bpr	coverage.bpr	gene
blm-2-200uv-f02-r2-c6_S62_.processed.bam	2	G	0.020680176	0.108057807	0.2094438	0.198319592	se	0.018908072	278	1.88	BLM
blm-2-200uv-f02-r3-c2_S65_.processed.bam	2	G	0.015938083	0.118003806	0.209523545	0.201783957	se	0.019975138	215	1.46	BLM
blm-2-200uv-f02-r3-c4_S67_.processed.bam	2	G	0.011145911	0.128945474	0.206112918	0.199765947	se	0.014404594	148	1.02	BLM
blm-2-200uv-f02-r3-c5_S68_.processed.bam	2	G	0.016337176	0.117044198	0.204314198	0.196218242	se	0.014347103	217	1.5	BLM
blm-2-200uv-f02-r3-c6_S69_.processed.bam	2	G	0.016333849	0.116980852	0.204083269	0.197768341	se	0.013042347	216	1.49	BLM
blm-2-200uv-f02-r4-c1_S71_.processed.bam	2	G	0.013142838	0.123200696	0.204426438	0.199248436	se	0.014006604	175	1.21	BLM
blm-2-200uv-f02-r4-c3_S73_.processed.bam	2	G	0.017287809	0.11213531	0.210524383	0.199836057	se	0.020133709	231	1.57	BLM
blm-2-200uv-f02-r4-c5_S75_.processed.bam	2	G	0.013804609	0.122917638	0.20528744	0.19884515	se	0.018879799	181	1.25	BLM
blm-2-200uv-f02-r4-c6_S76_.processed.bam	2	G	0.018068533	0.113122022	0.219992335	0.2094966	se	0.015583864	242	1.63	BLM
blm-2-200uv-f02-r5-c2_S79_.processed.bam	2	G	0.015710894	0.119852664	0.210988625	0.199218484	se	0.020014094	209	1.43	BLM
blm-2-200uv-f02-r5-c3_S80_.processed.bam	2	G	0.016802622	0.120476631	0.238890665	0.227370539	se	0.014844613	230	1.52	BLM
blm-2-200uv-f02-r5-c4_S81_.processed.bam	2	G	0.015420654	0.117825483	0.205931505	0.200666725	se	0.019007896	202	1.4	BLM
blm-2-200uv-f02-r5-c5_S82_.processed.bam	2	G	0.016832793	0.11973307	0.221958346	0.210102622	se	0.018832493	228	1.53	BLM
blm-2-200uv-f02-r6-c1_S85_.processed.bam	2	G	0.015552164	0.120301203	0.205884035	0.198542744	se	0.019315095	205	1.41	BLM
blm-2-200uv-f02-r6-c2_S86_.processed.bam	2	G	0.012169687	0.120430394	0.209348163	0.200922282	se	0.019580328	171	1.14	BLM
blm-2-200uv-f02-r6-c3_S87_.processed.bam	2	G	0.010113044	0.131665376	0.198063052	0.197974316	se	0.019959105	138	0.96	BLM
blm-2-200uv-f02-r6-c5_S89_.processed.bam	2	G	0.011501392	0.130541815	0.217126337	0.211362465	se	0.019739696	162	1.09	BLM
blm-4-100uv-f03-r1-c3_S101_.processed.bam	2	G	0.013137984	0.148786375	0.210805992	0.203313787	se	0.024408341	178	1.21	BLM
blm-4-100uv-f03-r1-c5_S103_.processed.bam	2	G	0.011798525	0.141395296	0.208066511	0.207566977	se	0.046600929	151	1.09	BLM
blm-4-100uv-f03-r1-c6_S104_.processed.bam	2	G	0.015560437	0.126006008	0.203428993	0.203109769	se	0.04921569	201	1.44	BLM
blm-4-100uv-f03-r2-c1_S106_.processed.bam	2	G	0.012734219	0.127779551	0.207713758	0.202633089	se	0.014773033	168	1.17	BLM
blm-4-100uv-f03-r2-c2_S107_.processed.bam	2	G	0.008987324	0.138770314	0.204964629	0.20429252	se	0.012600901	113	0.82	BLM
blm-4-100uv-f03-r2-c3_S108_.processed.bam	2	G	0.015186045	0.118587629	0.1977513	0.196657235	se	0.017070979	195	1.39	BLM
blm-4-100uv-f03-r2-c6_S111_.processed.bam	2	G	0.014050843	0.121784406	0.21024941	0.207666458	se	0.019494956	184	1.28	BLM
blm-4-100uv-f03-r3-c1_S113_.processed.bam	2	P	0.016117286	0.178383239	0.22868437	0.228588187	se	0.083163556	201	1.47	BLM
blm-4-100uv-f03-r3-c2_S114_.processed.bam	2	G	0.012735597	0.198567272	0.248320308	0.233838648	se	0.054906771	182	1.17	BLM
blm-4-100uv-f03-r3-c5_S117_.processed.bam	2	G	0.013151526	0.136165134	0.21445091	0.212612757	se	0.042895876	171	1.21	BLM
blm-4-100uv-f03-r4-c1_S120_.processed.bam	2	G	0.013004035	0.127732414	0.207548985	0.206934456	se	0.015121195	167	1.19	BLM
blm-4-100uv-f03-r4-c3_S122_.processed.bam	2	P	0.014593929	0.200075395	0.232035677	0.230248601	se	0.076144745	190	1.33	BLM
blm-4-100uv-f03-r4-c4_S123_.processed.bam	2	G	0.011889386	0.137540822	0.214213735	0.209101078	se	0.018617237	157	1.08	BLM
blm-4-100uv-f03-r4-c5_S124_.processed.bam	2	P	0.01007345	0.215745545	0.238799698	0.233545203	se	0.041198144	137	0.92	BLM
blm-4-100uv-f03-r4-c6_S125_.processed.bam	2	G	0.01282089	0.125662799	0.236395702	0.223246541	se	0.025998524	175	1.17	BLM
blm-4-100uv-f03-r5-c2_S128_.processed.bam	2	G	0.012777799	0.125936748	0.202756983	0.20007273	se	0.014230331	166	1.17	BLM
blm-4-100uv-f03-r5-c4_S130_.processed.bam	2	G	0.014462566	0.118711661	0.201178241	0.197953543	se	0.023707555	190	1.33	BLM
blm-4-100uv-f03-r5-c5_S131_.processed.bam	2	G	0.013545736	0.121779846	0.199049181	0.198036865	se	0.04292934	176	1.25	BLM
blm-4-100uv-f03-r6-c1_S134_.processed.bam	2	G	0.014488913	0.119518006	0.200387286	0.198107567	se	0.018064215	188	1.33	BLM
blm-4-100uv-f03-r6-c2_S135_.processed.bam	2	G	0.01007527	0.132880128	0.20276261	0.201873665	se	0.01489261	135	0.95	BLM
blm-4-100uv-f03-r6-c3_S136_.processed.bam	2	G	0.005979595	0.172273393	0.218762257	0.217079717	se	0.020675708	82	0.57	BLM
blm-4-100uv-f03-r6-c4_S137_.processed.bam	2	P	0.006479145	0.241348838	0.240124335	0.236658165	se	0.074172243	92	0.61	BLM
blm-4-100uv-f03-r6-c5_S138_.processed.bam	2	G	0.00987431	0.136531449	0.207807786	0.206830981	se	0.021396621	132	0.93	BLM
blm-4-200uv-f04-r1-c2_S149_.processed.bam	2	G	0.014222511	0.133760126	0.216094538	0.212126536	se	0.023956307	187	1.29	BLM
blm-4-200uv-f04-r1-c3_S150_.processed.bam	2	G	0.016941801	0.117561322	0.199298405	0.198693021	se	0.026075961	218	1.54	BLM
blm-4-200uv-f04-r1-c5_S152_.processed.bam	2	P	0.017377008	0.148108142	0.216005738	0.215911945	se	0.09961374	213	1.56	BLM
blm-4-200uv-f04-r1-c6_S153_.processed.bam	2	G	0.016731068	0.117614504	0.200561119	0.199737416	se	0.037983229	213	1.51	BLM
blm-4-200uv-f04-r2-c2_S156_.processed.bam	2	G	0.011442031	0.130187836	0.206104846	0.205912798	se	0.053821827	140	1.01	BLM
blm-4-200uv-f04-r2-c3_S157_.processed.bam	2	G	0.017568231	0.114402478	0.206391246	0.201110149	se	0.018915699	226	1.57	BLM
blm-4-200uv-f04-r2-c4_S158_.processed.bam	2	G	0.008987878	0.134937445	0.212150954	0.211279291	se	0.024411329	124	0.86	BLM
blm-4-200uv-f04-r2-c5_S159_.processed.bam	2	G	0.017820927	0.121635153	0.185012324	0.1833809	se	0.023168833	215	1.6	BLM
blm-4-200uv-f04-r2-c6_S160_.processed.bam	2	G	0.01987149	0.111747889	0.20525885	0.199692053	se	0.034706197	256	1.77	BLM
blm-4-200uv-f04-r3-c1_S162_.processed.bam	2	G	0.016338258	0.195228772	0.241645032	0.228949738	se	0.021485702	226	1.47	BLM
blm-4-200uv-f04-r3-c2_S163_.processed.bam	2	G	0.003723674	0.330844384	0.246479102	0.242169796	se	0.041587354	40	0.33	BLM
blm-4-200uv-f04-r3-c3_S164_.processed.bam	2	G	0.012031545	0.163603176	0.219933759	0.213723126	se	0.038659704	156	1.07	BLM
blm-4-200uv-f04-r3-c4_S165_.processed.bam	2	G	0.013415937	0.132502758	0.202384956	0.201652645	se	0.03435144	169	1.21	BLM
blm-4-200uv-f04-r3-c5_S166_.processed.bam	2	G	0.01603601	0.150773306	0.21421003	0.20998904	se	0.024866219	207	1.44	BLM
blm-4-200uv-f04-r4-c1_S169_.processed.bam	2	G	0.018847743	0.115864122	0.199853788	0.199224501	se	0.028177156	235	1.69	BLM
blm-4-200uv-f04-r4-c4_S172_.processed.bam	2	G	0.015973508	0.174843338	0.244914881	0.231052449	se	0.032073509	220	1.43	BLM
blm-4-200uv-f04-r4-c5_S173_.processed.bam	2	P	0.017966778	0.146618058	0.211131083	0.21068482	se	0.069402964	224	1.6	BLM
blm-4-200uv-f04-r5-c1_S176_.processed.bam	2	G	0.017598661	0.122204002	0.201355598	0.200748277	se	0.046521678	221	1.57	BLM
blm-4-200uv-f04-r5-c3_S178_.processed.bam	2	G	0.015233657	0.237441334	0.25451176	0.249834045	se	0.040238651	207	1.36	BLM
blm-4-200uv-f04-r5-c5_S180_.processed.bam	2	G	0.013555284	0.232666733	0.24983285	0.239998226	se	0.034035484	189	1.23	BLM
blm-4-200uv-f04-r6-c1_S183_.processed.bam	2	G	0.00931862	0.144543045	0.209092475	0.208974007	se	0.027425256	117	0.85	BLM
blm-4-200uv-f04-r6-c2_S184_.processed.bam	2	G	0.015882483	0.116600648	0.203303313	0.200792986	se	0.021013415	209	1.45	BLM
blm-4-200uv-f04-r6-c3_S185_.processed.bam	2	G	0.010226485	0.160860473	0.217734568	0.214165824	se	0.03016177	143	0.96	BLM
blm-4-200uv-f04-r6-c4_S186_.processed.bam	2	G	0.009991537	0.133445587	0.203804819	0.203081988	se	0.040054	135	0.94	BLM
blm-4-200uv-f04-r6-c5_S187_.processed.bam	2	P	0.009991268	0.251241127	0.264130717	0.258623286	se	0.067558361	147	0.94	BLM
recql1-1-100uv-f05-r1-c1_S197_.processed.bam	1	G	0.003553854	0.279303257	0.251278504	0.241108147	se	0.031368192	52	0.33	RECQL1
recql1-1-100uv-f05-r1-c2_S198_.processed.bam	1	G	0.005873308	0.159596539	0.206442304	0.205161527	se	0.028768508	74	0.55	RECQL1
recql1-1-100uv-f05-r1-c3_S199_.processed.bam	1	G	0.005572399	0.160148851	0.199465257	0.198462636	se	0.038881569	74	0.52	RECQL1
recql1-1-100uv-f05-r1-c4_S200_.processed.bam	1	P	0.00641293	0.205627851	0.212002278	0.211927981	se	0.106342803	82	0.59	RECQL1
recql1-1-100uv-f05-r1-c5_S201_.processed.bam	1	G	0.003527025	0.201694549	0.219707501	0.218063352	se	0.031936214	46	0.33	RECQL1
recql1-1-100uv-f05-r1-c6_S202_.processed.bam	1	G	0.006405711	0.154088447	0.197426432	0.196367402	se	0.03170722	84	0.59	RECQL1
recql1-1-100uv-f05-r2-c1_S204_.processed.bam	1	G	0.004964852	0.174865482	0.203883693	0.203328894	se	0.025834883	64	0.46	RECQL1
recql1-1-100uv-f05-r2-c3_S206_.processed.bam	1	G	0.00591591	0.223049508	0.221215848	0.216042932	se	0.029286114	80	0.55	RECQL1
recql1-1-100uv-f05-r2-c4_S207_.processed.bam	1	G	0.002992489	0.201272041	0.211372629	0.211368266	se	0.049683306	41	0.29	RECQL1
recql1-1-100uv-f05-r2-c5_S208_.processed.bam	1	P	0.006158009	0.192992602	0.21174985	0.211663204	se	0.072353526	78	0.57	RECQL1
recql1-1-100uv-f05-r2-c6_S209_.processed.bam	1	G	0.006985354	0.154527484	0.1949443	0.193915978	se	0.038497499	91	0.64	RECQL1
recql1-1-100uv-f05-r3-c1_S211_.processed.bam	1	G	0.004324702	0.209904488	0.218751282	0.215986236	se	0.037345759	59	0.41	RECQL1
recql1-1-100uv-f05-r3-c2_S212_.processed.bam	1	G	0.003618195	0.286925903	0.272790309	0.264257192	se	0.048542516	55	0.34	RECQL1
recql1-1-100uv-f05-r3-c3_S213_.processed.bam	1	G	0.004883726	0.171588504	0.202521717	0.201837351	se	0.025976616	63	0.45	RECQL1
recql1-1-100uv-f05-r3-c4_S214_.processed.bam	1	G	0.003895872	0.185092318	0.207640904	0.207033312	se	0.028016394	51	0.36	RECQL1
recql1-1-100uv-f05-r3-c5_S215_.processed.bam	1	P	0.00635475	0.248093554	0.233617533	0.230392101	se	0.142256278	76	0.59	RECQL1
recql1-1-100uv-f05-r3-c6_S216_.processed.bam	1	G	0.004899821	0.173662644	0.203034103	0.20247324	se	0.028108749	64	0.45	RECQL1
recql1-1-100uv-f05-r4-c1_S218_.processed.bam	1	G	0.00417822	0.180361855	0.204731903	0.204432222	se	0.032434151	54	0.39	RECQL1
recql1-1-100uv-f05-r4-c3_S220_.processed.bam	1	G	0.005099683	0.188757884	0.209687027	0.207253682	se	0.031664476	67	0.47	RECQL1
recql1-1-100uv-f05-r4-c6_S223_.processed.bam	1	G	0.004759376	0.174501971	0.202891312	0.202518638	se	0.031312277	62	0.44	RECQL1
recql1-1-100uv-f05-r5-c2_S226_.processed.bam	1	G	0.004921249	0.173841498	0.202594545	0.202172973	se	0.024234073	63	0.46	RECQL1
recql1-1-100uv-f05-r5-c4_S228_.processed.bam	1	G	0.003331257	0.199305752	0.213831552	0.213388921	se	0.038353509	43	0.31	RECQL1
recql1-1-100uv-f05-r5-c5_S229_.processed.bam	1	G	0.005085943	0.170637804	0.202211815	0.2013219	se	0.029002994	67	0.47	RECQL1
recql1-1-100uv-f05-r5-c6_S230_.processed.bam	1	G	0.004432882	0.179287472	0.202221401	0.201861324	se	0.032397492	57	0.41	RECQL1
recql1-1-100uv-f05-r6-c2_S233_.processed.bam	1	G	0.005146606	0.167426994	0.2013692	0.200588495	se	0.027130704	70	0.48	RECQL1
recql1-1-100uv-f05-r6-c3_S234_.processed.bam	1	P	0.003258454	0.269127145	0.258847836	0.258006382	se	0.223920343	42	0.31	RECQL1
recql1-1-100uv-f05-r6-c4_S235_.processed.bam	1	G	0.003790295	0.190075931	0.208536032	0.208018168	se	0.056052348	51	0.36	RECQL1
recql1-1-200uv-f06-r1-c1_S246_.processed.bam	1	G	0.005054624	0.164673781	0.203605883	0.20268474	se	0.020788416	67	0.47	RECQL1
recql1-1-200uv-f06-r1-c2_S247_.processed.bam	1	G	0.005742711	0.161104573	0.201736411	0.20055563	se	0.023319151	76	0.53	RECQL1
recql1-1-200uv-f06-r1-c3_S248_.processed.bam	1	G	0.005967835	0.161089909	0.199499877	0.198863899	se	0.021567691	78	0.55	RECQL1
recql1-1-200uv-f06-r1-c4_S249_.processed.bam	1	G	0.00397178	0.26626149	0.24921659	0.239028479	se	0.02985408	57	0.37	RECQL1
recql1-1-200uv-f06-r2-c1_S253_.processed.bam	1	G	0.005300636	0.18283691	0.211597324	0.210038185	se	0.023719045	70	0.49	RECQL1
recql1-1-200uv-f06-r2-c3_S255_.processed.bam	1	G	0.005627555	0.166405263	0.202727537	0.201719898	se	0.025053463	74	0.52	RECQL1
recql1-1-200uv-f06-r2-c4_S256_.processed.bam	1	G	0.003226596	0.261963368	0.243090893	0.231288994	se	0.030640373	48	0.31	RECQL1
recql1-1-200uv-f06-r2-c5_S257_.processed.bam	1	G	0.004517224	0.177719445	0.205548765	0.205394258	se	0.026579901	60	0.42	RECQL1
recql1-1-200uv-f06-r2-c6_S258_.processed.bam	1	G	0.005456714	0.166055951	0.20406962	0.203409424	se	0.020187125	71	0.5	RECQL1
recql1-1-200uv-f06-r3-c2_S261_.processed.bam	1	P	0.006752912	0.231022891	0.224968392	0.222020738	se	0.082912981	82	0.62	RECQL1
recql1-1-200uv-f06-r3-c5_S264_.processed.bam	1	G	0.002396494	0.280734002	0.280407526	0.278041072	se	0.055246148	34	0.22	RECQL1
recql1-1-200uv-f06-r3-c6_S265_.processed.bam	1	P	0.005245198	0.193543751	0.209534955	0.20946845	se	0.073967842	68	0.48	RECQL1
recql1-1-200uv-f06-r4-c1_S267_.processed.bam	1	G	0.003702793	0.203191598	0.213193626	0.212743306	se	0.050107321	48	0.34	RECQL1
recql1-1-200uv-f06-r4-c2_S268_.processed.bam	1	G	0.003085084	0.28355285	0.246385925	0.241081013	se	0.02355308	44	0.29	RECQL1
recql1-1-200uv-f06-r4-c3_S269_.processed.bam	1	G	0.003288622	0.282643041	0.257292179	0.246409303	se	0.032791101	49	0.31	RECQL1
recql1-1-200uv-f06-r4-c4_S270_.processed.bam	1	G	0.004318103	0.182806006	0.209894941	0.209539409	se	0.021616655	56	0.4	RECQL1
recql1-1-200uv-f06-r4-c5_S271_.processed.bam	1	G	0.003767607	0.192006623	0.214726015	0.213681105	se	0.026280103	49	0.35	RECQL1
recql1-1-200uv-f06-r4-c6_S272_.processed.bam	1	G	0.004378046	0.179767471	0.207213904	0.206571206	se	0.026385359	57	0.41	RECQL1
recql1-1-200uv-f06-r5-c1_S274_.processed.bam	1	G	0.005258953	0.166836466	0.203049735	0.202474418	se	0.027131378	68	0.48	RECQL1
recql1-1-200uv-f06-r5-c2_S275_.processed.bam	1	G	0.002619394	0.308055333	0.255072886	0.246262693	se	0.02203095	38	0.25	RECQL1
recql1-1-200uv-f06-r5-c5_S278_.processed.bam	1	G	0.00504724	0.181394446	0.211437797	0.211114596	se	0.034299545	66	0.47	RECQL1
recql1-1-200uv-f06-r5-c6_S279_.processed.bam	1	P	0.006057737	0.26059377	0.23745345	0.231957556	se	0.241652893	71	0.55	RECQL1
recql1-1-200uv-f06-r6-c3_S283_.processed.bam	1	G	0.002455903	0.226368232	0.219502526	0.218754391	se	0.024376133	34	0.23	RECQL1
recql1-1-200uv-f06-r6-c4_S284_.processed.bam	1	G	0.002996541	0.204267729	0.214402781	0.2137989	se	0.021133419	41	0.29	RECQL1
recql1-1-200uv-f06-r6-c5_S285_.processed.bam	1	G	0.003105245	0.207464615	0.214511151	0.213751499	se	0.048994181	43	0.3	RECQL1
recql5-wrn-1-100uv-f07-r1-c1_S295_.processed.bam	2	G	0.019796097	0.137644671	0.202436899	0.200786753	se	0.091429702	255	1.78	WRN/RECQL5
recql5-wrn-1-100uv-f07-r1-c2_S296_.processed.bam	2	P	0.019028173	0.14828118	0.20259716	0.202497098	se	0.102121223	238	1.71	WRN/RECQL5
recql5-wrn-1-100uv-f07-r1-c3_S297_.processed.bam	2	G	0.019310239	0.120690288	0.196768717	0.192205286	se	0.047333236	249	1.72	WRN/RECQL5
recql5-wrn-1-100uv-f07-r1-c4_S298_.processed.bam	2	P	0.019845204	0.152201682	0.21149348	0.21119456	se	0.053196878	243	1.77	WRN/RECQL5
recql5-wrn-1-100uv-f07-r2-c1_S302_.processed.bam	2	G	0.018453203	0.113483625	0.194842381	0.18991288	se	0.031036691	237	1.64	WRN/RECQL5
recql5-wrn-1-100uv-f07-r2-c2_S303_.processed.bam	2	G	0.010683459	0.137301142	0.202935443	0.199968489	se	0.019154658	134	0.95	WRN/RECQL5
recql5-wrn-1-100uv-f07-r2-c5_S306_.processed.bam	2	G	0.018533829	0.112710286	0.194923809	0.18958492	se	0.028257156	242	1.67	WRN/RECQL5
recql5-wrn-1-100uv-f07-r3-c1_S309_.processed.bam	2	P	0.022778388	0.170362771	0.217354474	0.216713554	se	0.088500299	278	2.04	WRN/RECQL5
recql5-wrn-1-100uv-f07-r3-c2_S310_.processed.bam	2	G	0.019583884	0.127855285	0.200612051	0.196320659	se	0.061890982	254	1.75	WRN/RECQL5
recql5-wrn-1-100uv-f07-r3-c3_S311_.processed.bam	2	P	0.01882377	0.213937211	0.236261944	0.230809347	se	0.354243542	213	1.67	WRN/RECQL5
recql5-wrn-1-100uv-f07-r3-c4_S312_.processed.bam	2	G	0.011752747	0.141163798	0.216653392	0.206963628	se	0.065047683	154	1.05	WRN/RECQL5
recql5-wrn-1-100uv-f07-r3-c5_S313_.processed.bam	2	G	0.012866342	0.148000562	0.211149036	0.208838075	se	0.058509007	167	1.16	WRN/RECQL5
recql5-wrn-1-100uv-f07-r3-c6_S314_.processed.bam	2	G	0.017938632	0.115270725	0.191274043	0.186504692	se	0.027092712	230	1.59	WRN/RECQL5
recql5-wrn-1-100uv-f07-r4-c2_S317_.processed.bam	2	P	0.019775864	0.14826968	0.205938172	0.205227604	se	0.068014452	250	1.78	WRN/RECQL5
recql5-wrn-1-100uv-f07-r4-c3_S318_.processed.bam	2	P	0.02121535	0.178272883	0.216043566	0.215570696	se	0.070190472	265	1.88	WRN/RECQL5
recql5-wrn-1-100uv-f07-r4-c4_S319_.processed.bam	2	G	0.017406304	0.117732051	0.192887169	0.188967789	se	0.037786512	225	1.56	WRN/RECQL5
recql5-wrn-1-100uv-f07-r4-c5_S320_.processed.bam	2	G	0.014668521	0.122729923	0.200173058	0.19283178	se	0.039447081	189	1.3	WRN/RECQL5
recql5-wrn-1-100uv-f07-r5-c2_S324_.processed.bam	2	P	0.017275705	0.149554919	0.204098491	0.203281113	se	0.060287062	217	1.55	WRN/RECQL5
recql5-wrn-1-100uv-f07-r5-c3_S325_.processed.bam	2	P	0.026000657	0.211760077	0.24026523	0.233253673	se	0.104038275	293	2.3	WRN/RECQL5
recql5-wrn-1-100uv-f07-r5-c4_S326_.processed.bam	2	G	0.018034502	0.113957241	0.196624326	0.194796126	se	0.027153256	230	1.62	WRN/RECQL5
recql5-wrn-1-100uv-f07-r5-c5_S327_.processed.bam	2	G	0.018793262	0.111780393	0.196729691	0.190892076	se	0.025339961	244	1.68	WRN/RECQL5
recql5-wrn-1-100uv-f07-r5-c6_S328_.processed.bam	2	P	0.017856898	0.180033387	0.216810407	0.216278068	se	0.097239284	214	1.58	WRN/RECQL5
recql5-wrn-1-100uv-f07-r6-c1_S330_.processed.bam	2	P	0.015227669	0.181224011	0.218018237	0.217493563	se	0.089441971	183	1.36	WRN/RECQL5
recql5-wrn-1-100uv-f07-r6-c2_S331_.processed.bam	2	G	0.015410931	0.118865134	0.203688884	0.200624203	se	0.031848288	208	1.42	WRN/RECQL5
recql5-wrn-1-100uv-f07-r6-c3_S332_.processed.bam	2	P	0.008544657	0.1827046	0.25561814	0.247503583	se	0.087273224	124	0.81	WRN/RECQL5
recql5-wrn-1-100uv-f07-r6-c4_S333_.processed.bam	2	G	0.009505571	0.139467664	0.202560382	0.199346756	se	0.031124546	132	0.9	WRN/RECQL5
recql5-wrn-1-100uv-f07-r6-c5_S334_.processed.bam	2	G	0.013047793	0.125251014	0.19890938	0.194102517	se	0.031861757	180	1.22	WRN/RECQL5
recql5-wrn-1-200uv-f08-r1-c1_S344_.processed.bam	2	P	0.025596744	0.188172361	0.228095129	0.224466203	se	0.103534481	298	2.25	WRN/RECQL5
recql5-wrn-1-200uv-f08-r1-c2_S345_.processed.bam	2	G	0.02448895	0.108017155	0.191352888	0.187972737	se	0.023923044	310	2.15	WRN/RECQL5
recql5-wrn-1-200uv-f08-r1-c3_S346_.processed.bam	2	P	0.022967558	0.154617193	0.213664213	0.211330786	se	0.103566759	283	1.98	WRN/RECQL5
recql5-wrn-1-200uv-f08-r1-c4_S347_.processed.bam	2	P	0.028496714	0.176823723	0.220266711	0.219211591	se	0.089923935	332	2.47	WRN/RECQL5
recql5-wrn-1-200uv-f08-r1-c6_S349_.processed.bam	2	G	0.024174828	0.106560165	0.194489061	0.186578272	se	0.023310624	295	2.04	WRN/RECQL5
recql5-wrn-1-200uv-f08-r2-c1_S351_.processed.bam	2	P	0.028204364	0.129627024	0.194458701	0.19324342	se	0.048696248	339	2.4	WRN/RECQL5
recql5-wrn-1-200uv-f08-r2-c3_S353_.processed.bam	2	G	0.003511968	0.378913352	0.248473216	0.242622929	se	0.042961418	35	0.3	WRN/RECQL5
